"key","species","kingdom","phylum","class","order","family","genus"
1548164,"Microthalestris littoralis","Animalia","Arthropoda","Copepoda","Harpacticoida","Parastenheliidae","Microthalestris"
118586,"Prochelator lateralis","Animalia","Arthropoda","Malacostraca","Isopoda","Desmosomatidae","Prochelator"
103134,"Metopa sinuata","Animalia","Arthropoda","Malacostraca","Amphipoda","Stenothoidae","Metopa"
446462,"Meterythrops robustus","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Meterythrops"
233889,"Paralithodes camtschaticus","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes"
110681,"Bentheuphausia amblyops","Animalia","Arthropoda","Malacostraca","Euphausiacea","Bentheuphausiidae","Bentheuphausia"
168975,"Lissodendoryx (Lissodendoryx) lundbecki","Animalia","Porifera","Demospongiae","Poecilosclerida","Coelosphaeridae","Lissodendoryx"
1424119,"Amphilectus ovulum","Animalia","Porifera","Demospongiae","Poecilosclerida","Esperiopsidae","Amphilectus"
234864,"Crella (Pytheas) basispinosa","Animalia","Porifera","Demospongiae","Poecilosclerida","Crellidae","Crella"
169470,"Myxilla (Myxilla) inequitornota","Animalia","Porifera","Demospongiae","Poecilosclerida","Myxillidae","Myxilla"
104054,"Hemithiris psittacea","Animalia","Brachiopoda","Rhynchonellata","Rhynchonellida","Hemithirididae","Hemithiris"
117411,"Lafoeina maxima","Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulinidae","Lafoeina"
284114,"Gymnangium arcuatum","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Gymnangium"
120996,"Pseudonchus longus","Animalia","Nematoda","Chromadorea","Desmodorida","Desmodoridae","Pseudonchus"
120998,"Pseudonchus norwegicus","Animalia","Nematoda","Chromadorea","Desmodorida","Desmodoridae","Pseudonchus"
121946,"Leptosomatina appendixocaudata","Animalia","Nematoda","Enoplea","Enoplida","Leptosomatidae incertae sedis","Leptosomatina"
139325,"Oenopota obliqua","Animalia","Mollusca","Gastropoda","Neogastropoda","Mangeliidae","Oenopota"
763070,"Acanthobdella peledina","Animalia","Annelida","Clitellata","Acanthobdellidea",NA,"Acanthobdella"
532022,"Caulleriella parva","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella"
103786,"Molgula kiaeri","Animalia","Chordata","Ascidiacea","Stolidobranchia","Molgulidae","Molgula"
373370,"Durvillaea antarctica","Chromista","Ochrophyta","Phaeophyceae","Fucales","Durvillaeaceae","Durvillaea"
178566,"Hillea marina","Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Hilleaceae","Hillea"
362276,"Monstrillopsis dubioides","Animalia","Arthropoda","Copepoda","Monstrilloida","Monstrillidae","Monstrillopsis"
407022,"Limnohalacarus cultellatus","Animalia","Arthropoda","Arachnida","Trombidiformes","Halacaridae","Limnohalacarus"
239642,"Nymphon helleri","Animalia","Arthropoda","Pycnogonida","Pantopoda","Nymphonidae","Nymphon"
1052183,"Tetrabothrius (Culmenamniculus) torulosus","Animalia","Platyhelminthes","Cestoda","Tetrabothriidea","Tetrabothriidae","Tetrabothrius"
105356,"Floriceps saccatus","Animalia","Platyhelminthes","Cestoda","Trypanorhyncha","Lacistorhynchidae","Floriceps"
