"AphiaID","scientificName","scientificNameMatched","scientificNameWWF","sdm_result","vernacularName","listedIn","annex","note","rank","status","kingdom","phylum","class","order","family","genus","isMarine","isBrackish","isFreshwater","isTerrestrial","gbif_speciesKey","gbif_scientificName"
271422,"Pristis clavata","Pristis clavata","Pristis clavata","available","Dwarf sawfish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,5216282,"Pristis clavata Garman, 1906"
105848,"Pristis pectinata","Pristis pectinata","Pristis pectinata","available","Smalltooth sawfish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,5216292,"Pristis pectinata Latham, 1794"
105849,"Pristis pristis","Pristis pristis","Pristis pristis","available","Largetooth sawfish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,5216276,"Pristis pristis (Linnaeus, 1758)"
105837,"Cetorhinus maximus","Cetorhinus maximus","Cetorhinus maximus","available","Basking shark","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinidae",NA,NA,NA,NA,NA,2420726,"Cetorhinus maximus (Gunnerus, 1765)"
105838,"Carcharodon carcharias","Carcharodon carcharias","Carcharodon carcharias","available","White shark","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae",NA,NA,NA,NA,NA,2420694,"Carcharodon carcharias (Linnaeus, 1758)"
105912,"Etmopterus pusillus","Etmopterus pusillus","Etmopterus pusillus","available","Smooth lantern shark","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae",NA,NA,NA,NA,NA,2421031,"Etmopterus pusillus (Lowe, 1839)"
1042871,"Mobula alfredi","Manta alfredi","Manta alfredi","available","Reef manta ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419160,"Manta alfredi (Krefft, 1868)"
1026118,"Mobula birostris","Manta birostris","Manta birostris","available","Giant manta ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419163,"Manta birostris (Walbaum, 1792)"
105858,"Mobula mobular","Mobula mobular","Mobula mobular","unavailable","Devil fish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419188,"Mobula mobular (Bonnaterre, 1788)"
271483,"Mobula rochebrunei","Mobula rochebrunei","Mobula rochebrunei","unavailable","Lesser Guinean devil ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419224,"Mobula rochebrunei (Vaillant, 1879)"
217430,"Mobula thurstoni","Mobula thurstoni","Mobula thurstoni","unavailable","Smoothtail mobula","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419218,"Mobula thurstoni (Lloyd, 1908)"
217434,"Mobula eregoodootenkee","Mobula eregoodootenkee","Mobula eregoodootenkee","unavailable","Longhorned mobula","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419206,"Mobula eregoodootenkee (Bleeker, 1859)"
