"key","species","kingdom","phylum","class","order","family","genus","n_pts","n_rawpts","n_sdmpts"
125388,"Paramuricea grayi","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Paramuricea",10,35,19
128530,"Umbellula huxleyi","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Umbellulidae","Umbellula",77,111,97
207128,"Astreopora myriophthalma","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Astreopora",0,1,5
472932,"Parantipathes hirondelle","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Parantipathes",15,17,24
135168,"Solenosmilia variabilis","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Solenosmilia",78,310,153
135198,"Javania cailleti","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Javania",25,62,42
135202,"Truncatoflabellum stabile","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Truncatoflabellum",2,9,3
135195,"Flabellum (Ulocyathus) angulare","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum",49,130,61
125385,"Paramuricea biscaya","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Paramuricea",23,46,29
135177,"Vaughanella concinna","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Vaughanella",21,46,39
135156,"Deltocyathus italicus","Animalia","Cnidaria","Anthozoa","Scleractinia","Deltocyathidae","Deltocyathus",21,105,52
135204,"Fungiacyathus (Fungiacyathus) fragilis","Animalia","Cnidaria","Anthozoa","Scleractinia","Fungiacyathidae","Fungiacyathus",20,49,44
125372,"Chelidonisis aurantiaca","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chelidonisididae","Chelidonisis",10,19,11
135200,"Monomyces pygmaea","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Monomyces",8,38,22
128520,"Pteroeides lusitanicum","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Pennatulidae","Pteroeides",0,0,0
135149,"Coenocyathus cylindricus","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Coenocyathus",3,9,5
181504,"Pteroeides griseum","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Pennatulidae","Pteroeides",97,173,109
135137,"Caryophyllia (Caryophyllia) calveri","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",32,109,85
135142,"Caryophyllia (Caryophyllia) sarsiae","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",30,70,44
135207,"Schizocyathus fissilis","Animalia","Cnidaria","Anthozoa","Scleractinia","Schizocyathidae","Schizocyathus",12,31,17
135190,"Enallopsammia rostrata","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Enallopsammia",19,53,36
286790,"Deltocyathus andamanicus","Animalia","Cnidaria","Anthozoa","Scleractinia","Deltocyathidae","Deltocyathus",1,3,4
135170,"Stephanocyathus (Stephanocyathus) crassus","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Stephanocyathus",10,35,27
286852,"Stephanocyathus (Stephanocyathus) diadema","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Stephanocyathus",4,13,9
286789,"Deltocyathus agassizi","Animalia","Cnidaria","Anthozoa","Scleractinia","Deltocyathidae","Deltocyathus",2,4,6
578142,"Caryophyllia arcuata","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",6,17,22
103311,"Antipathes fragilis","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Antipathes",0,0,0
135167,"Premocyathus cornuformis","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Premocyathus",42,181,63
135206,"Guynia annulata","Animalia","Cnidaria","Anthozoa","Scleractinia","Guyniidae","Guynia",8,14,13
